icao,motivo,visitas
KNUTM,Código inválido / não-ICAO,6
SBAM,Sem coordenadas na base de aeroportos,6
SD8L,Sem coordenadas na base de aeroportos,6
SIDE,Sem coordenadas na base de aeroportos,6
SIFC,Sem coordenadas na base de aeroportos,6
SISM,Sem coordenadas na base de aeroportos,6
SJHG,Sem coordenadas na base de aeroportos,6
SJNG,Sem coordenadas na base de aeroportos,6
SJOD,Sem coordenadas na base de aeroportos,6
SNKU,Sem coordenadas na base de aeroportos,6
SNRH,Sem coordenadas na base de aeroportos,6
SPIM,Sem coordenadas na base de aeroportos,6
SSRA,Sem coordenadas na base de aeroportos,6
SWBI,Sem coordenadas na base de aeroportos,6
SWNO,Sem coordenadas na base de aeroportos,6
XINA,Sem coordenadas na base de aeroportos,6
ZZZZ2,Código inválido / não-ICAO,6
ZZZZMA,Código inválido / não-ICAO,6
SBSU,Sem coordenadas na base de aeroportos,5
SDIL,Sem coordenadas na base de aeroportos,5
14BPM,Código inválido / não-ICAO,4
AGUABR,Código inválido / não-ICAO,4
APU180,Código inválido / não-ICAO,4
ASSBR,Código inválido / não-ICAO,4
IBANAL,Código inválido / não-ICAO,4
KSNOVA,Código inválido / não-ICAO,4
OBROBO,Código inválido / não-ICAO,4
PIRI,Sem coordenadas na base de aeroportos,4
SBLN,Sem coordenadas na base de aeroportos,4
SBYC,Sem coordenadas na base de aeroportos,4
SD8C,Sem coordenadas na base de aeroportos,4
SDCD,Sem coordenadas na base de aeroportos,4
SDDB,Sem coordenadas na base de aeroportos,4
SDKJ,Sem coordenadas na base de aeroportos,4
SDMC,Sem coordenadas na base de aeroportos,4
SDXJ,Sem coordenadas na base de aeroportos,4
SIWV,Sem coordenadas na base de aeroportos,4
SJKS,Sem coordenadas na base de aeroportos,4
SJQE,Sem coordenadas na base de aeroportos,4
SNAB,Sem coordenadas na base de aeroportos,4
SNCN,Sem coordenadas na base de aeroportos,4
SNUN,Sem coordenadas na base de aeroportos,4
SNVR,Sem coordenadas na base de aeroportos,4
SOBRAD,Código inválido / não-ICAO,4
SRBA,Sem coordenadas na base de aeroportos,4
SSCI,Sem coordenadas na base de aeroportos,4
SSFI,Sem coordenadas na base de aeroportos,4
SSSM,Sem coordenadas na base de aeroportos,4
SWDQ,Sem coordenadas na base de aeroportos,4
SWDU,Sem coordenadas na base de aeroportos,4
SWLL,Sem coordenadas na base de aeroportos,4
SWNV,Sem coordenadas na base de aeroportos,4
SWWK,Sem coordenadas na base de aeroportos,4
TISJ,Sem coordenadas na base de aeroportos,4
TUFIL,Código inválido / não-ICAO,4
ZZJUSS,Código inválido / não-ICAO,4
ZZZZDF,Código inválido / não-ICAO,4
SBAV,Sem coordenadas na base de aeroportos,3
SBGU,Sem coordenadas na base de aeroportos,3
ABARE,Código inválido / não-ICAO,2
AGRVBA,Código inválido / não-ICAO,2
APWA,Sem coordenadas na base de aeroportos,2
APYT,Sem coordenadas na base de aeroportos,2
CIABMB,Código inválido / não-ICAO,2
CIPMBA,Código inválido / não-ICAO,2
CUSTOD,Código inválido / não-ICAO,2
IDIXUN,Código inválido / não-ICAO,2
ITANHG,Código inválido / não-ICAO,2
KJZI,Sem coordenadas na base de aeroportos,2
LCAPIM,Código inválido / não-ICAO,2
MENDES,Código inválido / não-ICAO,2
MNTRED,Código inválido / não-ICAO,2
PNTPE1,Código inválido / não-ICAO,2
ROOSEV,Código inválido / não-ICAO,2
SBCS,Sem coordenadas na base de aeroportos,2
SBDV,Sem coordenadas na base de aeroportos,2
SBEL,Sem coordenadas na base de aeroportos,2
SBFG,Sem coordenadas na base de aeroportos,2
SBFS,Sem coordenadas na base de aeroportos,2
SBGS,Sem coordenadas na base de aeroportos,2
SBHL,Sem coordenadas na base de aeroportos,2
SBRA,Sem coordenadas na base de aeroportos,2
SBSO,Sem coordenadas na base de aeroportos,2
SBUC,Sem coordenadas na base de aeroportos,2
SBUQ,Sem coordenadas na base de aeroportos,2
SBVP,Sem coordenadas na base de aeroportos,2
SBYS,Sem coordenadas na base de aeroportos,2
SD9L,Sem coordenadas na base de aeroportos,2
SDC8,Sem coordenadas na base de aeroportos,2
SDDN,Sem coordenadas na base de aeroportos,2
SDOI,Sem coordenadas na base de aeroportos,2
SDPE,Sem coordenadas na base de aeroportos,2
SDPW,Sem coordenadas na base de aeroportos,2
SDRR,Sem coordenadas na base de aeroportos,2
SDWC,Sem coordenadas na base de aeroportos,2
SDWE,Sem coordenadas na base de aeroportos,2
SIBE,Sem coordenadas na base de aeroportos,2
SIEH,Sem coordenadas na base de aeroportos,2
SIGQ,Sem coordenadas na base de aeroportos,2
SINR,Sem coordenadas na base de aeroportos,2
SJ8Y,Sem coordenadas na base de aeroportos,2
SJCW,Sem coordenadas na base de aeroportos,2
SJDA,Sem coordenadas na base de aeroportos,2
SJDL,Sem coordenadas na base de aeroportos,2
SJHF,Sem coordenadas na base de aeroportos,2
SJLL,Sem coordenadas na base de aeroportos,2
SJPI,Sem coordenadas na base de aeroportos,2
SJRG,Sem coordenadas na base de aeroportos,2
SJUR,Sem coordenadas na base de aeroportos,2
SJVD,Sem coordenadas na base de aeroportos,2
SLPM,Sem coordenadas na base de aeroportos,2
SMUQ,Sem coordenadas na base de aeroportos,2
SNAU,Sem coordenadas na base de aeroportos,2
SNEU,Sem coordenadas na base de aeroportos,2
SNFR,Sem coordenadas na base de aeroportos,2
SNJP,Sem coordenadas na base de aeroportos,2
SNKR,Sem coordenadas na base de aeroportos,2
SNLA,Sem coordenadas na base de aeroportos,2
SNPA,Sem coordenadas na base de aeroportos,2
SNQE,Sem coordenadas na base de aeroportos,2
SNQV,Sem coordenadas na base de aeroportos,2
SNRQ,Sem coordenadas na base de aeroportos,2
SNSD,Sem coordenadas na base de aeroportos,2
SNSE,Sem coordenadas na base de aeroportos,2
SNWW,Sem coordenadas na base de aeroportos,2
SNXR,Sem coordenadas na base de aeroportos,2
SSFY,Sem coordenadas na base de aeroportos,2
SSJF,Sem coordenadas na base de aeroportos,2
SSKC,Sem coordenadas na base de aeroportos,2
SSMD,Sem coordenadas na base de aeroportos,2
SSNE,Sem coordenadas na base de aeroportos,2
SSPT,Sem coordenadas na base de aeroportos,2
SSQZ,Sem coordenadas na base de aeroportos,2
SSSY,Sem coordenadas na base de aeroportos,2
SSTL,Sem coordenadas na base de aeroportos,2
SSWK,Sem coordenadas na base de aeroportos,2
SUMA,Sem coordenadas na base de aeroportos,2
SWBO,Sem coordenadas na base de aeroportos,2
SWEE,Sem coordenadas na base de aeroportos,2
SWKQ,Sem coordenadas na base de aeroportos,2
SWMK,Sem coordenadas na base de aeroportos,2
SWPJ,Sem coordenadas na base de aeroportos,2
SWPK,Sem coordenadas na base de aeroportos,2
SWPL,Sem coordenadas na base de aeroportos,2
SWPZ,Sem coordenadas na base de aeroportos,2
SWRM,Sem coordenadas na base de aeroportos,2
SWZN,Sem coordenadas na base de aeroportos,2
URCRTU,Código inválido / não-ICAO,2
ZZZITA,Código inválido / não-ICAO,2
,Código inválido / não-ICAO,1
ARAME,Código inválido / não-ICAO,1
BJVO,Sem coordenadas na base de aeroportos,1
KEXE,Sem coordenadas na base de aeroportos,1
SB3R,Sem coordenadas na base de aeroportos,1
SBAK,Sem coordenadas na base de aeroportos,1
SBBN,Sem coordenadas na base de aeroportos,1
SBGE,Sem coordenadas na base de aeroportos,1
SBGI,Sem coordenadas na base de aeroportos,1
SBPU,Sem coordenadas na base de aeroportos,1
SDAV,Sem coordenadas na base de aeroportos,1
SDCA,Sem coordenadas na base de aeroportos,1
SDKN,Sem coordenadas na base de aeroportos,1
SDNH,Sem coordenadas na base de aeroportos,1
SDRE,Sem coordenadas na base de aeroportos,1
SGBR,Sem coordenadas na base de aeroportos,1
SJPN,Sem coordenadas na base de aeroportos,1
SNHT,Sem coordenadas na base de aeroportos,1
SPJG,Sem coordenadas na base de aeroportos,1
SSBV,Sem coordenadas na base de aeroportos,1
